Table S3. Sub-groups within the processing and fresh market germplasm based on PC1 and PC2 of PCA						
SolCAP T-number	Genotype	Market Class	Sub-group	PCA		
SCT_0042	OH05-8044	Processing	Proc 2	-15.64137382	20.82686164	
SCT_0043	OH05-8046	Processing	Proc 2	-11.45459543	18.5782258	
SCT_0047	OH05-8062	Processing	Proc 2	-16.74796141	19.46423072	
SCT_0052	OH05-8072	Processing	Proc 2	-18.22338027	20.95048733	
SCT_0053	OH05-8074	Processing	Proc 2	-15.75754056	19.63523487	
SCT_0058	OH05-8095	Processing	Proc 2	-15.35678207	19.60022979	
SCT_0068	OH05-8163	Processing	Proc 2	-12.65504211	17.88052208	
SCT_0069	OH05-8165	Processing	Proc 2	-14.44241727	18.58145246	
SCT_0071	OH05-8175	Processing	Proc 2	-15.46456421	20.41334728	
SCT_0075	OH05-8185	Processing	Proc 2	-21.54440088	14.08223154	
SCT_0076	OH05-8186	Processing	Proc 2	-19.74082136	13.43252158	
SCT_0081	OH05-8197	Processing	Proc 2	-14.74761303	19.35181971	
SCT_0091	OH08-5207	Processing	Proc 2	-7.366968749	13.48138583	
SCT_0092	OH08-5210	Processing	Proc 2	-3.618731719	16.08012094	
SCT_0093	OH08-5211	Processing	Proc 2	-3.476685914	16.24980717	
SCT_0094	OH08-5213	Processing	Proc 2	-12.61428446	16.53946423	
SCT_0099	OH08-7454	Processing	Proc 2	-14.12682266	18.57172601	
SCT_0100	OH08-7457	Processing	Proc 2	-16.51947796	18.49656157	
SCT_0101	OH08-7458	Processing	Proc 2	-7.19177353	12.02536522	
SCT_0107	OH2641	Processing	Proc 2	-8.095315021	17.92614351	
SCT_0108	OH3614	Processing	Proc 2	-14.48605035	20.637503	
SCT_0109	OH5-8127	Processing	Proc 2	-18.7326921	17.64034331	
SCT_0110	OH5-8157	Processing	Proc 2	-12.37420918	19.52491634	
SCT_0111	OH5-8164	Processing	Proc 2	-15.14887284	20.0193508	
SCT_0112	OH7814	Processing	Proc 2	-1.83084294	13.94343234	
SCT_0114	OH7983	Processing	Proc 2	-10.76798884	17.3890938	
SCT_0118	OH8446	Processing	Proc 2	-0.054916904	16.35756277	
SCT_0119	OH8556	Processing	Proc 2	-10.3721343	18.91475122	
SCT_0120	OH86120	Processing	Proc 2	-10.27430038	18.9517007	
SCT_0122	OH87160	Processing	Proc 2	-14.01431101	13.93701466	
SCT_0123	OH88119	Processing	Proc 2	-14.36099278	14.12722553	
SCT_0124	OH9241	Processing	Proc 2	-3.78818152	14.44788216	
SCT_0125	OH9242	Processing	Proc 2	-14.84864349	19.85502464	
SCT_0129	OH981205	Processing	Proc 2	-8.33457563	12.08596117	
SCT_0130	OH987034	Processing	Proc 2	-13.84886978	13.791073	
SCT_0131	Oroma 	Processing	Proc 2	6.521928451	15.41712624	
SCT_0134	R001	Processing	Proc 2	-6.164984006	18.31008018	
SCT_0135	R9812	Processing	Proc 2	2.965165199	9.756790509	
SCT_0136	R996	Processing	Proc 2	3.009477474	12.8407698	
SCT_0137	R997	Processing	Proc 2	-5.012154774	15.27069009	
SCT_0138	Saucy	Processing	Proc 2	5.813426748	15.96070017	
SCT_0478	PS696	Processing	Proc 2	-13.66370256	10.74676089	
SCT_0006	CULBPT04-2 	Processing	Outliner	-1.557432562	-2.347023761	
SCT_0008	CULBPT04-4	Processing	Outliner	-7.750103221	-21.76938355	
SCT_0010	CULBPT-05-10	Processing	Outliner	-5.431331162	-21.35594841	
SCT_0018	CULBPT-A46-2	Processing	Outliner	1.714647332	-2.250780133	
SCT_0030	Heinz 1706	Processing	Outliner	18.25731244	12.33046987	
SCT_0096	OH08-5216	Processing	Outliner	7.026784349	7.066640123	
SCT_0132	Pearson	Processing	Outliner	23.56271977	5.850386922	
SCT_0150	091004-15	FreshMarket	FM 1	-1.632814506	-29.59241215	
SCT_0157	091109-3	FreshMarket	FM 1	6.948829393	-26.33521407	
SCT_0159	091120-2	FreshMarket	FM 1	4.127035263	-25.46922395	
SCT_0160	091120-7	FreshMarket	FM 1	2.722609998	-25.42276016	
SCT_0173	Cherokee	FreshMarket	FM 1	8.02025012	-31.57052101	
SCT_0174	Fla. 678	FreshMarket	FM 1	4.692488598	-28.28852173	
SCT_0175	Fla. 701	FreshMarket	FM 1	7.853025546	-27.82773861	
SCT_0176	Fla. 7060	FreshMarket	FM 1	5.996721409	-28.29241439	
SCT_0177	Fla. 726	FreshMarket	FM 1	7.466770406	-25.56598263	
SCT_0178	Fla. 7481	FreshMarket	FM 1	4.290626463	-29.23158868	
SCT_0179	Fla. 7547	FreshMarket	FM 1	5.000691314	-29.97425676	
SCT_0180	Fla. 7600	FreshMarket	FM 1	1.40238424	-26.31520503	
SCT_0181	Fla. 7770	FreshMarket	FM 1	6.828126295	-28.5212351	
SCT_0182	Fla. 7771	FreshMarket	FM 1	4.931571812	-28.12814539	
SCT_0183	Fla. 7775	FreshMarket	FM 1	4.162577178	-28.52663278	
SCT_0184	Fla. 7776	FreshMarket	FM 1	10.23783778	-26.56797603	
SCT_0185	Fla. 7781	FreshMarket	FM 1	4.652527396	-30.59199299	
SCT_0187	Fla. 7907B	FreshMarket	FM 1	2.459991393	-24.90630053	
SCT_0189	Fla. 8000	FreshMarket	FM 1	0.095341868	-24.44904858	
SCT_0190	Fla. 8044	FreshMarket	FM 1	4.547773517	-27.5777889	
SCT_0191	Fla. 8059	FreshMarket	FM 1	5.758043015	-25.47715181	
SCT_0192	Fla. 8083	FreshMarket	FM 1	6.317357858	-24.67156374	
SCT_0193	Fla. 8109	FreshMarket	FM 1	2.819453496	-26.32575339	
SCT_0195	Fla. 8124C	FreshMarket	FM 1	4.114810198	-26.82613904	
SCT_0196	Fla. 8233	FreshMarket	FM 1	2.003700292	-27.22315276	
SCT_0197	Fla. 8249	FreshMarket	FM 1	2.849764058	-23.85155895	
SCT_0198	Fla. 8293	FreshMarket	FM 1	-5.161272277	-25.11349716	
SCT_0199	Fla. 8344	FreshMarket	FM 1	2.860427372	-17.68247391	
SCT_0201	Fla. 8476	FreshMarket	FM 1	1.027535234	-28.36515142	
SCT_0202	Fla. 8516	FreshMarket	FM 1	-0.889125881	-31.60166889	
SCT_0203	Fla. 8539	FreshMarket	FM 1	-3.034159289	-18.28273137	
SCT_0204	Fla. 8543	FreshMarket	FM 1	3.396953913	-27.33353666	
SCT_0205	Fla. 8561B-6	FreshMarket	FM 1	8.118301726	-27.17635797	
SCT_0206	Fla. 8599	FreshMarket	FM 1	2.201911091	-29.13701312	
SCT_0207	Fla. 8608	FreshMarket	FM 1	0.445345348	-26.67603335	
SCT_0208	Fla. 8624	FreshMarket	FM 1	6.789594803	-28.98033873	
SCT_0211	Fla. 8646	FreshMarket	FM 1	3.423105312	-28.57796668	
SCT_0212	Fla. 8653	FreshMarket	FM 1	3.321178277	-30.14073284	
SCT_0215	Flora-Dade	FreshMarket	FM 1	4.043551635	-27.9330647	
SCT_0227	NC123S	FreshMarket	FM 1	2.534975312	-31.09777125	
SCT_0229	NC 13G	FreshMarket	FM 1	-8.761567261	-29.84043835	
SCT_0231	NC161L-1W(2007)	FreshMarket	FM 1	0.725131572	-17.44281475	
SCT_0232	NC1CS	FreshMarket	FM 1	1.17541675	-26.60403481	
SCT_0236	NC2Y	FreshMarket	FM 1	2.771153366	-27.54979687	
SCT_0237	NC33EB-1	FreshMarket	FM 1	-2.180870859	-30.42183279	
SCT_0238	NC47NC2	FreshMarket	FM 1	-5.813763111	-24.86019288	
SCT_0239	NC50-7	FreshMarket	FM 1	-3.161776627	-27.32955661	
SCT_0240	NC714-3B(2007)	FreshMarket	FM 1	0.254541447	-27.6282017	
SCT_0241	NC8276	FreshMarket	FM 1	-8.771877475	-29.81302673	
SCT_0242	NC8288	FreshMarket	FM 1	-5.251734006	-27.65544358	
SCT_0243	NC84173	FreshMarket	FM 1	-4.858494947	-29.44148336	
SCT_0246	NCEBR-1	FreshMarket	FM 1	0.438578967	-30.16699003	
SCT_0249	NCEBR-4	FreshMarket	FM 1	-6.597130612	-24.89421749	
SCT_0253	NCEBR-8	FreshMarket	FM 1	3.919404447	-23.73205428	
SCT_0254	NCHS-1	FreshMarket	FM 1	-4.252513189	-18.99110521	
SCT_0261	PI 564169	FreshMarket	FM 1	-5.292521027	-18.08322026	
SCT_0268	Piedmont	FreshMarket	FM 1	-5.415916698	-31.17514909	
SCT_0272	Summit	FreshMarket	FM 1	-5.657835023	-25.98119776	
SCT_0275	Tropic	FreshMarket	FM 1	9.821532843	-26.87388065	
SCT_0492	NC 1 CELBR 	FreshMarket	FM 1	-2.16451563	-30.43898961	
SCT_0506	Fla. 8383	FreshMarket	FM 1	-3.469099998	-25.07599626	
SCT_0143	071733-1	FreshMarket	FM 2	15.69942565	5.938146104	
SCT_0144	071820-2	FreshMarket	FM 2	16.43301099	7.306562954	
SCT_0158	091119-2	FreshMarket	FM 2	8.744116361	-13.50272777	
SCT_0161	091135-1	FreshMarket	FM 2	2.681558187	-13.91969423	
SCT_0162	091144-1	FreshMarket	FM 2	11.83440264	-0.504115014	
SCT_0164	091153-1	FreshMarket	FM 2	12.10400623	3.043860161	
SCT_0165	091166-3	FreshMarket	FM 2	12.44958338	1.884257179	
SCT_0172	Campbell 28	FreshMarket	FM 2	8.357166026	-6.254034043	
SCT_0186	Fla. 7804	FreshMarket	FM 2	16.6661362	-12.33284793	
SCT_0188	Fla. 7946	FreshMarket	FM 2	15.57537441	-13.66374528	
SCT_0194	Fla. 8111BH	FreshMarket	FM 2	15.709236	-12.12359505	
SCT_0209	Fla. 8626	FreshMarket	FM 2	14.43713524	-13.4808043	
SCT_0214	Fla. 8737	FreshMarket	FM 2	12.38635235	-8.682553612	
SCT_0218	LA1996	FreshMarket	FM 2	25.75152854	10.23122045	
SCT_0219	LA2378	FreshMarket	FM 2	20.77137237	7.123555695	
SCT_0220	LA3163	FreshMarket	FM 2	26.59488996	11.74484461	
SCT_0222	LA4425 	FreshMarket	FM 2	5.593867861	-3.607765454	
SCT_0224	Legend	FreshMarket	FM 2	22.90275416	2.350823435	
SCT_0225	Medford 	FreshMarket	FM 2	25.0450638	8.178137316	
SCT_0226	NC 7 P rep-8 (2006) - 96	FreshMarket	FM 2	11.88055999	-3.929642574	
SCT_0228	NC 13E-1(95)	FreshMarket	FM 2	18.91858944	-9.567228587	
SCT_0230	NC140	FreshMarket	FM 2	22.00084614	0.370329944	
SCT_0233	NC23E-2 (93)	FreshMarket	FM 2	18.96516409	-9.514290582	
SCT_0234	NC265-1(93)-3-4	FreshMarket	FM 2	10.37079004	1.724275833	
SCT_0245	NC99471-3	FreshMarket	FM 2	7.050713465	-0.297977857	
SCT_0247	NCEBR-2	FreshMarket	FM 2	16.62687912	-7.516579872	
SCT_0248	NCEBR-3	FreshMarket	FM 2	17.36240528	-9.896240096	
SCT_0251	NCEBR-6	FreshMarket	FM 2	12.28824366	-7.292920978	
SCT_0252	NCEBR-7	FreshMarket	FM 2	15.81997458	-2.793171372	
SCT_0255	Ohio11	FreshMarket	FM 2	20.59396064	-6.274560778	
SCT_0256	Ohio MR13	FreshMarket	FM 2	21.95599283	7.950330022	
SCT_0258	Oregon Spring	FreshMarket	FM 2	24.68238625	10.77572829	
SCT_0259	Oregon Star	FreshMarket	FM 2	3.915102388	15.7371123	
SCT_0260	P20-3-1	FreshMarket	FM 2	10.88614883	-7.815593846	
SCT_0262	PI 647532	FreshMarket	FM 2	27.17854733	12.238963	
SCT_0264	PI 281553	FreshMarket	FM 2	26.34599581	10.04649076	
SCT_0267	PI 65023	FreshMarket	FM 2	25.83617212	13.41837837	
SCT_0269	RioGrande	FreshMarket	FM 2	-12.53154332	9.094107845	
SCT_0270	Severianin	FreshMarket	FM 2	24.26642547	12.65422233	
SCT_0271	Siletz	FreshMarket	FM 2	21.03788993	1.88468496	
SCT_0273	T-5	FreshMarket	FM 2	21.57617002	7.32378614	
SCT_0274	T-9	FreshMarket	FM 2	20.33499723	6.633280487	
SCT_0276	UC-MR20	FreshMarket	FM 2	14.42346488	1.405774645	
SCT_0277	UC-N28	FreshMarket	FM 2	20.73013454	7.007328882	
SCT_0278	UC-T338	FreshMarket	FM 2	23.18456345	6.440764722	
SCT_0280	UC-TR51	FreshMarket	FM 2	11.21695846	8.236669956	
SCT_0281	Willamette VF	FreshMarket	FM 2	24.58495615	8.130852297	
SCT_0486	OH08-6405	FreshMarket	FM 2	27.055733	13.69102704	
SCT_0487	NC98248	FreshMarket	FM 2	12.80572794	-5.939236652	
